year,occurrence_loss,aggregate_loss,n_events
242,0.0,0.0,0
243,0.0,0.0,0
244,0.0,0.0,0
245,10825745.233054593,10825745.233054593,1
246,9635074.535040397,9635074.535040397,1
247,16049793.483649122,46874757.58828634,4
248,9782158.49850342,9782158.49850342,1
249,8290832.335293303,8290832.335293303,1
250,16049793.483649122,26523208.647286877,2
251,27191805.57120662,27191805.57120662,1
252,267813603.5666229,267813603.5666229,1
253,7563609.154481918,7563609.154481918,1
254,0.0,0.0,0
255,0.0,0.0,0
256,14128361.669668384,27509218.675691992,2
257,0.0,0.0,0
258,97067047.98094109,122532038.25418162,3
259,22090706.03436403,22090706.03436403,1
260,0.0,0.0,0
261,16246669.462293182,16246669.462293182,1
262,193989932.40222985,193989932.40222985,1
263,59976015.709717184,79637171.27571493,2
264,8829867.918317575,8829867.918317575,1
265,20878684.5389264,36506588.846359015,2
266,82952468.95708123,88971407.97026606,2
267,15783396.409863852,15783396.409863852,1
268,70247373.90946679,70247373.90946679,1
269,7443029.238393913,7443029.238393913,1
270,0.0,0.0,0
271,0.0,0.0,0
272,43971042.132971,43971042.132971,1
273,0.0,0.0,0
274,0.0,0.0,0
275,14488462.687871352,27910447.80488331,2
276,0.0,0.0,0
277,0.0,0.0,0
278,11728920.991721328,11728920.991721328,1
279,10212426.889577724,10212426.889577724,1
280,0.0,0.0,0
281,59976015.709717184,59976015.709717184,1
282,0.0,0.0,0
283,0.0,0.0,0
284,10042145.998409696,10042145.998409696,1
285,228511144.77594674,237201650.09867948,2
286,13189928.234943908,13189928.234943908,1
287,0.0,0.0,0
288,14555563.168156981,14555563.168156981,1
289,24868536.937050693,35643465.37464334,2
290,0.0,0.0,0
291,0.0,0.0,0
292,5995631.709594843,5995631.709594843,1
293,0.0,0.0,0
294,43267953.96468715,43267953.96468715,1
295,0.0,0.0,0
296,0.0,0.0,0
297,0.0,0.0,0
298,0.0,0.0,0
299,0.0,0.0,0
300,0.0,0.0,0
301,6037197.745038094,6037197.745038094,1
302,31662217.629934967,60848128.35630904,3
303,11993059.098250525,11993059.098250525,1
304,0.0,0.0,0
305,0.0,0.0,0
306,0.0,0.0,0
307,41226128.78237444,55162082.51541041,2
308,12208205.639153829,12208205.639153829,1
309,0.0,0.0,0
310,4657535.24887928,4657535.24887928,1
311,0.0,0.0,0
312,15124379.32002312,25019992.208885495,2
313,36942819.60723433,36942819.60723433,1
314,0.0,0.0,0
315,15940314.731823515,15940314.731823515,1
316,0.0,0.0,0
317,680226634.9565046,830518895.0183226,4
318,23854279.15679451,46858426.88746796,3
319,13421985.117011957,13421985.117011957,1
320,4953485.662089885,4953485.662089885,1
321,9248636.38543349,9248636.38543349,1
322,94591221.05506358,112034595.2445848,2
323,0.0,0.0,0
324,42215319.95831929,60939307.12597792,3
325,5408121.300818335,5408121.300818335,1
326,0.0,0.0,0
327,211515478.8209992,330828505.26185566,2
328,0.0,0.0,0
329,61432234.91246064,61432234.91246064,1
330,110847949.76179683,131864204.92779593,3
331,0.0,0.0,0
332,71530584.4974699,76285710.1550077,2
333,0.0,0.0,0
334,36684845.61445957,36684845.61445957,1
335,10774928.437592648,10774928.437592648,1
336,13380857.006023608,23426034.689031124,2
337,0.0,0.0,0
338,0.0,0.0,0
339,67738852.58191475,67738852.58191475,1
340,0.0,0.0,0
341,9981064.27464203,9981064.27464203,1
342,62803725.171181396,62803725.171181396,1
343,276320951.81246805,291011180.50501674,2
344,222251510.34105736,233077255.57411194,2
345,35129606.77676158,40083092.43885146,2
346,0.0,0.0,0
347,4657535.24887928,4657535.24887928,1
348,5464182.711853538,5464182.711853538,1
349,0.0,0.0,0
350,0.0,0.0,0
351,170516640.63468364,183332890.37991965,2
352,224444052.90678316,238939734.94060856,2
353,6027835.870813565,6027835.870813565,1
354,367312790.04518366,367312790.04518366,1
355,598346661.7655623,639060993.9257973,2
356,126425621.33798409,126425621.33798409,1
357,0.0,0.0,0
358,5488882.992261764,5488882.992261764,1
359,49547864.39399839,69016292.74738595,4
360,0.0,0.0,0
361,22917059.609529834,22917059.609529834,1
362,0.0,0.0,0
363,0.0,0.0,0
364,521484224.7918078,566488553.5299625,3
365,352896204.8069844,498143021.6676937,4
366,6666167.047949493,12689336.329012798,2
367,107286225.54187241,107286225.54187241,1
368,0.0,0.0,0
369,6991775.479865093,6991775.479865093,1
370,0.0,0.0,0
371,276320951.81246805,379254015.8478353,2
372,130024208.31175426,140810194.46033883,2
373,19301521.2676756,27008828.327882614,2
374,6750026.997128538,6750026.997128538,1
375,209833602.5179881,235933775.14114127,3
376,14443257.98441732,14443257.98441732,1
377,0.0,0.0,0
378,10783146.434713703,10783146.434713703,1
379,10839293.166531978,19130125.50182528,2
380,0.0,0.0,0
381,0.0,0.0,0
382,10839293.166531978,10839293.166531978,1
383,22917059.609529834,50969724.05362705,3
384,34493180.52722597,34493180.52722597,1
385,63710366.81058915,63710366.81058915,1
386,17517195.619108282,26207700.94184104,2
387,0.0,0.0,0
388,91982186.5800761,91982186.5800761,1
389,229541049.06327933,229541049.06327933,1
390,0.0,0.0,0
391,13189928.234943908,13189928.234943908,1
392,7101002.246140659,7101002.246140659,1
393,14555563.168156981,14555563.168156981,1
394,50898944.704040326,104899598.98523036,4
395,0.0,0.0,0
396,15743221.907782067,27110389.353849106,2
397,0.0,0.0,0
398,0.0,0.0,0
399,28726823.441646017,28726823.441646017,1
400,0.0,0.0,0
401,0.0,0.0,0
402,5477897.56926297,5477897.56926297,1
403,0.0,0.0,0
404,56478443.606970534,131085293.72114909,3
405,63843965.128431976,69332848.12069374,2
406,89102724.23618326,93760259.48506254,2
407,0.0,0.0,0
408,12175268.743866755,12175268.743866755,1
409,129688712.31548026,129688712.31548026,1
410,0.0,0.0,0
411,139053507.08371186,139053507.08371186,1
412,0.0,0.0,0
413,0.0,0.0,0
414,41156091.50518669,41156091.50518669,1
415,77958623.71402198,103881354.328246,3
416,22917059.609529834,31308568.487629294,2
417,0.0,0.0,0
418,0.0,0.0,0
419,14730868.059647173,14730868.059647173,1
420,0.0,0.0,0
421,0.0,0.0,0
422,0.0,0.0,0
423,15743221.907782067,15743221.907782067,1
424,7443029.238393913,7443029.238393913,1
425,139014885.23257294,139014885.23257294,1
426,0.0,0.0,0
427,0.0,0.0,0
428,54021906.50359968,54021906.50359968,1
429,265406819.9408609,272156846.9379894,2
430,44162474.731962726,56071324.265027285,2
431,455517621.6177096,470073184.78586656,2
432,5665798.4090952445,5665798.4090952445,1
433,100443963.93183821,107886993.17023213,2
434,7141032.628504204,7141032.628504204,1
435,43971042.132971,84685374.29320607,2
436,225817862.07982284,237185029.52588987,2
437,40714332.16023506,98455845.17962696,4
438,92560816.81546548,117101676.5322984,3
439,42814485.658037834,90889858.88255793,3
440,6027835.870813565,6027835.870813565,1
441,221589781.83959243,242101101.62946114,3
442,0.0,0.0,0
443,6037197.745038094,6037197.745038094,1
444,358296204.7699977,493876761.3501326,2
445,34493180.52722597,34493180.52722597,1
446,0.0,0.0,0
447,0.0,0.0,0
448,0.0,0.0,0
449,33518408.073252488,42208913.395985246,2
450,58310321.95134956,58310321.95134956,1
451,0.0,0.0,0
452,11018385.29553137,11018385.29553137,1
453,244197798.68373942,261577192.85692078,2
454,15165658.529098004,15165658.529098004,1
455,0.0,0.0,0
456,8290832.335293303,18437250.576434348,3
457,21421528.71480546,21421528.71480546,1
458,19271965.542354703,19271965.542354703,1
459,26842822.900202997,37682116.06673498,2
460,11018385.29553137,11018385.29553137,1
461,0.0,0.0,0
462,617607448.5627495,617607448.5627495,1
463,0.0,0.0,0
464,0.0,0.0,0
465,0.0,0.0,0
466,0.0,0.0,0
467,0.0,0.0,0
468,62672829.035358794,78952395.15611583,3
469,0.0,0.0,0
470,0.0,0.0,0
471,98308682.75766745,98308682.75766745,1
472,0.0,0.0,0
473,5996624.279147845,5996624.279147845,1
474,345792053.5479289,345792053.5479289,1
475,14495682.033825403,14495682.033825403,1
476,0.0,0.0,0
477,0.0,0.0,0
478,36268675.45144332,36268675.45144332,1
479,0.0,0.0,0
480,0.0,0.0,0
481,6666167.047949493,6666167.047949493,1
482,37298179.87215075,86090635.20351717,3
483,20130587.59410746,52924646.658562005,3
484,0.0,0.0,0
485,0.0,0.0,0
486,0.0,0.0,0
487,0.0,0.0,0
488,30990809.774538465,30990809.774538465,1
489,16887704.62280006,27361119.786437817,2
490,24470562.19356168,40753514.50429027,2
491,44101024.52080011,55979755.26210114,2
492,22917059.609529834,22917059.609529834,1
493,14220661.234194111,35048985.35191533,3
494,18044629.03013634,29411796.476203382,2
495,0.0,0.0,0
496,8836536.882363116,8836536.882363116,1
497,100443963.93183821,100443963.93183821,1
498,41708084.91622211,41708084.91622211,1
499,0.0,0.0,0
500,0.0,0.0,0
501,0.0,0.0,0
502,110847949.76179683,115185245.54459666,2
503,0.0,0.0,0
504,0.0,0.0,0
505,150654942.85413176,187960677.82262957,2
506,0.0,0.0,0
507,0.0,0.0,0
508,0.0,0.0,0
509,0.0,0.0,0
510,47537948.59593031,47537948.59593031,1
511,7728414.014892113,7728414.014892113,1
512,48488707.56902155,48488707.56902155,1
513,0.0,0.0,0
514,55305328.846502945,55305328.846502945,1
515,22752242.8128478,28529450.355224412,2
516,0.0,0.0,0
517,0.0,0.0,0
518,100511951.524465,100511951.524465,1
519,25666719.300879225,25666719.300879225,1
520,0.0,0.0,0
521,0.0,0.0,0
522,0.0,0.0,0
523,0.0,0.0,0
524,129301643.2140253,239486662.70035493,3
525,0.0,0.0,0
526,222251510.34105736,222251510.34105736,1
527,45000108.67770727,45000108.67770727,1
528,10045177.683007514,10045177.683007514,1
529,18044629.03013634,27599083.291148655,2
530,755517675.000356,767367161.0868413,2
531,124201831.29204188,124201831.29204188,1
532,9635074.535040397,9635074.535040397,1
533,44162474.731962726,44162474.731962726,1
534,0.0,0.0,0
535,0.0,0.0,0
536,49547864.39399839,49547864.39399839,1
537,211446138.32526934,221427202.59991136,2
538,8007648.394320772,8007648.394320772,1
539,0.0,0.0,0
540,0.0,0.0,0
541,0.0,0.0,0
542,98308682.75766745,161112407.92884886,2
543,0.0,0.0,0
544,11938591.692281011,11938591.692281011,1
545,12816249.745235998,12816249.745235998,1
546,273641473.6614231,280149475.00472194,2
547,57588565.13203691,73835234.59433009,2
548,119527336.81559175,133551857.3800377,3
549,4755125.657537802,4755125.657537802,1
550,0.0,0.0,0
551,36838097.24417436,48205264.690241404,2
552,0.0,0.0,0
553,17443374.18952123,17443374.18952123,1
554,0.0,0.0,0
555,14488462.687871352,14488462.687871352,1
556,677619013.3763832,677619013.3763832,1
557,9981064.27464203,9981064.27464203,1
558,0.0,0.0,0
559,0.0,0.0,0
560,0.0,0.0,0
561,44304989.20945672,75554115.6282422,2
562,48693626.09443842,48693626.09443842,1
563,0.0,0.0,0
564,0.0,0.0,0
565,19661155.565997753,43620722.056963935,3
566,53460977.951356485,53460977.951356485,1
567,101348482.60396653,108110862.43831667,2
568,0.0,0.0,0
569,13935953.733035963,19973151.47807406,2
570,14128361.669668384,14128361.669668384,1
571,0.0,0.0,0
572,0.0,0.0,0
573,0.0,0.0,0
574,41427277.004355825,48930923.441508755,2
575,0.0,0.0,0
576,0.0,0.0,0
577,7101002.246140659,7101002.246140659,1
578,0.0,0.0,0
579,77958623.71402198,77958623.71402198,1
580,0.0,0.0,0
581,0.0,0.0,0
582,0.0,0.0,0
583,9865173.930592958,9865173.930592958,1
584,0.0,0.0,0
585,17517195.619108282,30898052.62513189,2
586,0.0,0.0,0
587,0.0,0.0,0
588,13853691.142361563,13853691.142361563,1
589,0.0,0.0,0
590,16282952.310728583,16282952.310728583,1
591,5408121.300818335,5408121.300818335,1
592,0.0,0.0,0
593,0.0,0.0,0
594,8722093.116015498,8722093.116015498,1
595,149290880.2878418,179984576.62247133,2
596,9865173.930592958,9865173.930592958,1
597,7814425.236326847,7814425.236326847,1
598,122126982.36115053,135854173.57441866,2
599,0.0,0.0,0
600,7707307.060207013,7707307.060207013,1
601,208677109.53680748,208677109.53680748,1
602,52107907.60723579,52107907.60723579,1
603,5665798.4090952445,5665798.4090952445,1
604,71530584.4974699,126371567.17479385,3
605,19301521.2676756,19301521.2676756,1
606,0.0,0.0,0
607,120743640.52197525,129992276.90740874,2
608,0.0,0.0,0
609,366850975.31721026,411155964.526667,2
610,13421985.117011957,26821121.940726597,3
611,160969527.86446097,160969527.86446097,1
612,10785986.148584582,10785986.148584582,1
613,14220661.234194111,14220661.234194111,1
614,21586983.873457942,21586983.873457942,1
615,0.0,0.0,0
616,26842822.900202997,26842822.900202997,1
617,0.0,0.0,0
618,0.0,0.0,0
619,16951221.25895195,16951221.25895195,1
620,13853691.142361563,21751420.16339971,2
621,0.0,0.0,0
622,33828900.985486716,47018829.22043063,2
623,0.0,0.0,0
624,0.0,0.0,0
625,0.0,0.0,0
626,27885546.977948673,27885546.977948673,1
627,133129942.24252844,193629923.6439978,2
628,117189416.87832826,181971402.40045574,2
629,0.0,0.0,0
630,29749122.54602083,29749122.54602083,1
631,0.0,0.0,0
632,0.0,0.0,0
633,0.0,0.0,0
634,11018385.29553137,11018385.29553137,1
635,16951221.25895195,27720859.51497423,2
636,0.0,0.0,0
637,122126982.36115053,122126982.36115053,1
638,101515525.81354403,101515525.81354403,1
639,12212702.583122531,12212702.583122531,1
640,0.0,0.0,0
641,7707307.060207013,7707307.060207013,1
642,117235922.99395494,117235922.99395494,1
643,76648379.82680458,110444490.30066863,3
644,8749370.200578064,23920529.16772715,3
645,0.0,0.0,0
646,157289111.74651146,301055988.29894674,3
647,0.0,0.0,0
648,8749370.200578064,8749370.200578064,1
649,36838097.24417436,56469484.62400442,3
650,0.0,0.0,0
651,15783396.409863852,15783396.409863852,1
652,11820814.467135977,11820814.467135977,1
653,775057213.4558034,775057213.4558034,1
654,9782158.49850342,18264767.736358535,2
655,158881472.20723975,336791113.6780143,5
656,25072791.94499182,25072791.94499182,1
657,59362043.48866769,59362043.48866769,1
658,15165658.529098004,15165658.529098004,1
659,0.0,0.0,0
660,8722093.116015498,8722093.116015498,1
661,0.0,0.0,0
662,0.0,0.0,0
663,13106715.046466138,21134611.331764244,2
664,36480264.8918034,36480264.8918034,1
665,17443374.18952123,17443374.18952123,1
666,9981064.27464203,9981064.27464203,1
667,0.0,0.0,0
668,8829867.918317575,8829867.918317575,1
669,87354828.90358558,95362477.29790635,2
670,94104154.83243945,138556647.24425292,4
671,54238896.89412223,69404555.42322023,2
672,756678012.6328424,786888994.859187,3
673,54021906.50359968,138388424.64119387,4
674,64781985.52212747,106490070.43834957,2
675,50178331.26088573,50178331.26088573,1
676,7879768.410650327,7879768.410650327,1
677,3386554.3238806548,3386554.3238806548,1
678,11018385.29553137,11018385.29553137,1
679,0.0,0.0,0
680,0.0,0.0,0
681,0.0,0.0,0
682,0.0,0.0,0
683,13935953.733035963,13935953.733035963,1
684,57588565.13203691,64580340.611902,2
685,44162474.731962726,78158078.87751651,2
686,5942345.612417857,5942345.612417857,1
687,0.0,0.0,0
688,56279774.79001262,56279774.79001262,1
689,178083795.41614407,192304456.65033817,2
690,0.0,0.0,0
691,0.0,0.0,0
692,14730868.059647173,14730868.059647173,1
693,18044629.03013634,18044629.03013634,1
694,0.0,0.0,0
695,0.0,0.0,0
696,521864863.58441687,639826393.9578172,3
697,20222226.592572995,20222226.592572995,1
698,478062814.81533504,478062814.81533504,1
699,23854279.15679451,30520446.204744004,2
700,12212702.583122531,18962729.580251068,2
701,133445883.69708161,133445883.69708161,1
702,50178331.26088573,60651746.42452349,2
703,0.0,0.0,0
704,17628400.535356544,17628400.535356544,1
705,0.0,0.0,0
706,6815137.634594068,6815137.634594068,1
707,6666167.047949493,6666167.047949493,1
708,7563609.154481918,7563609.154481918,1
709,10774928.437592648,10774928.437592648,1
710,9987901.464909498,9987901.464909498,1
711,15743221.907782067,25955648.79735979,2
712,0.0,0.0,0
713,7375967.542651335,7375967.542651335,1
714,0.0,0.0,0
715,188602948.41530806,256733303.45534635,2
716,14730868.059647173,14730868.059647173,1
717,11849486.086485364,23216653.532552406,2
718,96351916.12673804,133650095.99888879,2
719,0.0,0.0,0
720,10050821.529921044,10050821.529921044,1
721,152579976.72730052,170316552.98564896,2
722,10198047.679891802,10198047.679891802,1
723,41427277.004355825,41427277.004355825,1
724,0.0,0.0,0
725,55936329.74169238,65184966.12712587,2
726,0.0,0.0,0
727,0.0,0.0,0
728,10042145.998409696,10042145.998409696,1
729,30732134.933129326,45463002.9927765,2
730,0.0,0.0,0
731,58310321.95134956,58310321.95134956,1
732,0.0,0.0,0
733,35129606.77676158,35129606.77676158,1
734,43279478.923881516,43279478.923881516,1
735,22090706.03436403,36219067.70403241,2
736,16059534.215515614,22087370.086329177,2
737,7707307.060207013,7707307.060207013,1
738,0.0,0.0,0
739,0.0,0.0,0
740,127767431.47308582,127767431.47308582,1
741,134746458.24168524,183568821.85181674,3
742,0.0,0.0,0
743,0.0,0.0,0
744,262587259.99482012,277255027.766834,2
745,10952764.936390903,10952764.936390903,1
746,0.0,0.0,0
747,108186737.72935107,108186737.72935107,1
748,0.0,0.0,0
749,0.0,0.0,0
750,337274921.14975214,337274921.14975214,1
751,0.0,0.0,0
752,130024208.31175426,136532209.65505308,2
753,0.0,0.0,0
754,43971042.132971,84480510.88501334,2
755,0.0,0.0,0
756,102085719.2628597,102085719.2628597,1
757,8125080.817041025,8125080.817041025,1
758,123469480.18255293,135348210.92385396,2
759,0.0,0.0,0
760,123518040.32367264,137908240.51625085,3
761,0.0,0.0,0
762,0.0,0.0,0
763,0.0,0.0,0
764,0.0,0.0,0
765,15743221.907782067,15743221.907782067,1
766,0.0,0.0,0
767,14495682.033825403,14495682.033825403,1
768,221933531.13859698,237099189.667695,2
769,30693696.334629532,37153864.24556604,2
770,14128361.669668384,14128361.669668384,1
771,50178331.26088573,50178331.26088573,1
772,0.0,0.0,0
773,6027835.870813565,6027835.870813565,1
774,327204757.9438381,327204757.9438381,1
775,231422582.1687208,243522115.58247906,2
776,0.0,0.0,0
777,0.0,0.0,0
778,0.0,0.0,0
779,0.0,0.0,0
780,0.0,0.0,0
781,0.0,0.0,0
782,0.0,0.0,0
783,277227571.0591841,375105927.65203905,2
784,0.0,0.0,0
785,234923797.6405894,250209631.77106097,3
786,486318137.0442418,486318137.0442418,1
787,23249140.816368908,23249140.816368908,1
788,19301521.2676756,19301521.2676756,1
789,0.0,0.0,0
790,0.0,0.0,0
791,0.0,0.0,0
792,10473415.163637757,18353183.574288085,2
793,0.0,0.0,0
794,0.0,0.0,0
795,0.0,0.0,0
796,5777207.542376611,5777207.542376611,1
797,76691412.17896822,76691412.17896822,1
798,0.0,0.0,0
799,337274921.14975214,399308551.7795079,3
800,17517195.619108282,46063560.05614336,3
801,119313026.44085646,149577013.17339292,4
802,33995604.145553775,86622039.67236087,4
